followers,following,bio_length,posts,profile_picture,Private,uname_digits,uname_length,Fake
25,1937,0,0,yes,private,0,10,fake
324,4122,0,0,yes,public,4,15,fake
15,399,0,0,no,public,3,12,fake
14,107,0,1,yes,public,1,10,fake
264,4651,0,0,yes,public,0,14,fake
33,1470,0,2,yes,private,4,13,fake
420,4883,30,8,yes,public,0,12,fake
442,6662,0,396,yes,public,0,11,fake
816,7497,0,85,yes,public,3,15,fake
150,6631,1,0,yes,private,3,8,fake
235,7202,0,1,yes,private,2,14,fake
99,1358,0,1,yes,public,3,7,fake
59,6603,0,0,no,private,0,12,fake
4,179,0,1,yes,public,0,17,fake
39,1022,58,0,no,public,3,30,fake
8,23,0,0,no,public,0,10,fake
622,364,26,2,no,public,0,9,fake
37,207,0,0,no,public,0,15,fake
66,244,34,0,no,public,0,11,fake
32,4,0,1,yes,public,2,10,fake
27,354,0,0,yes,private,4,10,fake
47,106,0,0,no,public,3,11,fake
25,136,0,0,no,private,2,8,fake
5,243,0,1,no,private,0,12,fake
0,848,0,0,no,private,4,9,fake
232,6013,111,1,yes,public,1,20,fake
534,539,11,0,yes,public,0,11,fake
1,8,0,0,no,public,0,11,fake
0,126,0,0,yes,private,0,5,fake
5,77,0,0,yes,public,4,10,fake
0,6,0,0,no,private,7,11,fake
80,1844,16,1,yes,private,0,9,fake
87,851,53,0,yes,public,0,8,fake
29,1603,89,2,yes,public,0,11,fake
247,1749,0,3,yes,public,4,10,fake
290,2269,0,0,no,private,0,12,fake
12,2721,16,1,yes,private,0,13,fake
46,2521,0,0,no,public,2,12,fake
2,1973,13,0,no,private,1,11,fake
8,1359,0,0,yes,public,0,8,fake
36,2004,10,6,no,private,2,13,fake
37,1982,8,1,yes,public,3,9,fake
61,992,0,0,yes,public,4,10,fake
105,6802,17,0,yes,public,0,6,fake
607,7455,20,0,no,private,0,9,fake
14,1725,0,0,yes,private,4,9,fake
69,3577,0,1,no,public,1,9,fake
26,1919,0,0,no,public,0,12,fake
12,1710,0,1,yes,public,3,13,fake
12,1377,0,0,no,public,5,15,fake
51,3241,50,0,yes,private,2,13,fake
8,1709,0,0,yes,private,2,7,fake
514,1999,27,0,yes,public,0,6,fake
104,1423,53,0,no,public,0,13,fake
83,2012,0,0,yes,private,2,12,fake
69,1374,9,0,yes,private,1,7,fake
282,2517,0,5,yes,public,2,11,fake
49,2499,23,1,yes,public,4,17,fake
14,3359,0,0,yes,public,1,7,fake
49,2987,0,0,no,public,0,8,fake
20,3543,0,0,no,public,1,11,fake
63,2318,0,0,yes,public,4,9,fake
5,964,0,1,yes,public,0,9,fake
58,826,0,0,yes,public,4,12,fake
110,1612,0,0,no,private,4,12,fake
21,946,0,1,yes,public,1,10,fake
15,659,0,1,yes,public,0,8,fake
2,,0,0,yes,public,3,13,fake
125,1396,15,0,yes,private,2,12,fake
14,3086,0,1,yes,public,0,11,fake
4,883,0,0,yes,public,1,7,fake
11,1898,37,0,yes,private,2,9,fake
3208,1911,0,0,no,public,5,15,fake
0,2513,0,1,yes,private,0,13,fake
124,1411,85,0,yes,private,0,13,fake
441,2772,0,0,no,private,2,9,fake
10,1768,0,0,no,public,4,14,fake
14,1229,0,4,no,private,0,14,fake
16,2473,0,0,no,public,0,13,fake
22,2666,0,0,no,private,2,9,fake
24,2503,0,1,yes,public,4,9,fake
32,2471,0,0,no,public,3,13,fake
102,332,0,0,no,public,1,7,fake
53,620,4,1,yes,private,0,8,fake
9,1770,0,0,no,public,0,8,fake
12,2319,0,0,no,public,3,10,fake
7,2116,0,0,no,public,2,12,fake
52,2479,0,0,yes,public,0,14,fake
14,1803,0,0,yes,public,0,11,fake
22,1330,0,0,yes,public,3,10,fake
4,1546,0,0,no,public,0,11,fake
58,2132,0,0,no,public,0,14,fake
8,2039,0,0,yes,public,4,11,fake
22,4006,0,0,no,public,0,8,fake
15,3949,0,0,no,public,2,13,fake
26,3400,0,0,no,public,2,8,fake
32,3921,70,0,yes,public,2,11,fake
34,7158,0,0,no,public,1,10,fake
47,3999,129,0,yes,private,0,12,fake
162,171,0,1,no,private,0,15,fake
643,2240,0,2,yes,public,1,11,fake
147,2387,0,0,yes,public,2,10,fake
35,4621,0,0,no,public,4,17,fake
11,4677,0,0,no,public,3,8,fake
52,4614,0,0,yes,public,0,14,fake
33,5133,0,2,yes,public,8,13,fake
29,5105,0,0,no,public,5,18,fake
6,961,0,0,yes,public,5,8,fake
64,190,70,3,yes,public,0,16,fake
18,1741,0,0,no,public,0,11,fake
163,6747,0,3,yes,public,0,10,fake
6,181,0,1,yes,public,3,15,fake
17,1299,0,1,yes,public,0,18,fake
16,266,0,0,no,public,2,14,fake
153,1195,9,0,yes,public,0,9,fake
38,1678,0,0,no,public,5,19,fake
959,2107,0,3,yes,public,0,8,fake
109,1722,0,8,yes,private,5,11,fake
129,1796,0,5,yes,private,0,8,fake
35,2553,0,1,yes,public,0,21,fake
6,866,0,2,no,private,0,10,fake
19,4046,0,1,yes,public,5,19,fake
34,938,110,3,yes,public,0,15,fake
494,3853,0,1,yes,public,4,18,fake
30,940,24,3,yes,public,0,10,fake
26,1392,85,3,yes,public,1,13,fake
5,16,0,0,no,private,0,9,fake
160,2246,0,1,yes,public,3,10,fake
48,179,0,4,yes,public,0,8,fake
55,776,6,1,yes,public,0,11,fake
11,159,0,1,no,public,3,14,fake
185,1928,74,3,yes,public,0,12,fake
11,2258,0,3,yes,public,0,18,fake
29,1857,19,1,yes,public,3,8,fake
39,481,14,2,yes,public,0,19,fake
71,31,57,3,yes,public,1,11,fake
3,151,0,0,no,private,0,16,fake
1,1807,0,0,no,private,2,12,fake
3,76,0,0,yes,private,2,12,fake
11,76,0,0,no,public,2,13,fake
1,67,0,0,no,private,0,8,fake
29,41,0,0,no,private,0,9,fake
0,3,0,0,no,public,3,10,fake
13,114,0,0,no,public,4,9,fake
17,183,0,0,no,private,1,10,fake
24,696,0,0,no,private,0,9,fake
3,157,0,0,no,private,4,9,fake
0,54,0,0,no,private,0,11,fake
11,344,24,0,no,private,4,9,fake
1,282,0,0,no,private,0,15,fake
0,577,0,0,no,private,0,14,fake
0,434,0,0,no,private,0,12,fake
2,57,0,0,no,public,2,10,fake
26,142,0,0,no,public,0,9,fake
49,111,0,0,no,private,5,10,fake
1,127,0,0,yes,private,0,10,fake
16,486,0,0,yes,private,0,13,fake
25,322,0,0,yes,public,0,8,fake
0,194,0,0,yes,private,0,9,fake
0,174,14,0,yes,private,1,9,fake
0,524,0,0,yes,private,0,6,fake
5,460,0,1,yes,private,1,7,fake
0,753,0,9,yes,private,0,13,fake
0,140,0,0,yes,private,2,7,fake
301,7493,0,0,yes,private,4,10,fake
368,6929,0,2,yes,public,0,7,fake
80,4839,10,5,yes,public,0,8,fake
28,4518,0,1,yes,public,2,6,fake
223,1735,0,6,yes,public,2,9,fake
140,1104,0,3,yes,public,0,15,fake
85,1401,130,9,yes,public,3,16,fake
32,2184,35,2,yes,public,2,18,fake
34,3681,36,1,yes,public,0,9,fake
14,2429,0,1,yes,public,0,16,fake
11,1008,12,1,yes,public,0,12,fake
228,4956,50,1,yes,private,3,9,fake
133,145,0,4,yes,public,0,15,fake
407,3792,0,1,yes,public,3,9,fake
64,359,0,6,yes,public,0,7,fake
288,4276,0,1,yes,public,5,9,fake
307,4887,3,3,yes,public,0,22,fake
88,266,0,1,yes,public,0,9,fake
145,2291,0,1,no,public,7,15,fake
34,219,0,2,no,public,0,20,fake
165,618,0,0,yes,public,0,8,fake
165,752,0,0,no,private,3,8,fake
151,1975,0,0,no,private,4,9,fake
12,25,0,0,no,public,0,9,fake
1338,3364,0,0,no,private,0,10,fake
401,3796,0,0,no,public,3,10,fake
228,1779,0,0,no,public,10,11,fake
1127,3758,0,3,yes,private,6,9,fake
0,0,0,0,no,public,4,10,fake
1,0,90,9,yes,public,1,19,fake
1,1,59,7,yes,public,4,15,fake
0,25,138,6,yes,public,0,10,fake
0,0,52,6,yes,public,3,7,fake
0,1,92,9,yes,public,1,15,fake
1,0,60,5,yes,public,1,13,fake
0,0,108,6,yes,public,2,10,fake
258,238,0,0,yes,public,0,10,real
263,482,30,29,yes,private,0,8,real
51,78,9,0,yes,private,0,10,real
297,480,22,25,yes,private,2,9,real
113,242,0,95,yes,private,0,10,real
545,995,26,340,yes,private,0,8,real
52,121,0,30,yes,private,0,9,real
1038,6640,0,156,yes,public,0,12,real
172,227,51,10,yes,public,0,10,real
101,114,14,4,yes,private,0,15,real
250,247,31,4,yes,public,0,7,real
413,677,0,38,yes,private,0,15,real
172,187,1,7,yes,private,0,10,real
337,455,0,2,yes,private,0,14,real
114,155,29,8,yes,private,2,12,real
174,165,0,76,yes,private,1,9,real
372,362,36,13,yes,private,0,7,real
338,330,41,17,yes,public,0,12,real
2207,593,47,198,yes,public,0,15,real
449,410,19,19,yes,private,0,8,real
594,863,105,276,yes,private,0,9,real
679,764,23,39,yes,private,0,11,real
569,539,41,95,yes,private,0,11,real
540,543,0,73,yes,private,0,12,real
441,368,25,30,yes,private,0,8,real
570,455,37,120,yes,private,0,10,real
368,1114,16,69,yes,public,0,8,real
634,648,59,21,yes,public,0,9,real
687,539,18,78,yes,public,0,9,real
579,413,36,221,yes,public,0,11,real
752,726,0,312,yes,private,0,12,real
861,686,0,323,yes,public,0,9,real
535,368,122,49,yes,private,0,18,real
1872,1806,39,374,yes,private,0,11,real
257,149,33,39,yes,public,0,7,real
3140,496,63,807,yes,private,0,5,real
491,745,0,373,yes,private,3,16,real
434,528,23,93,yes,private,0,9,real
1073,837,0,49,yes,private,0,14,real
1532,1431,57,313,yes,private,0,11,real
737,875,87,53,yes,public,0,10,real
335,353,26,2,yes,private,0,14,real
399,364,47,9,yes,private,0,16,real
310,330,0,0,yes,private,1,5,real
392,379,21,8,yes,public,0,13,real
163,186,0,0,yes,private,0,8,real
642,707,8,10,yes,private,0,12,real
594,800,28,21,yes,private,0,12,real
295,302,11,2,yes,private,0,11,real
377,539,76,40,yes,public,0,11,real
345,393,0,2,yes,private,0,8,real
667,660,0,20,yes,private,0,7,real
347,610,44,14,yes,private,2,14,real
340,378,27,9,yes,private,0,12,real
1136,976,110,188,yes,private,0,10,real
206,201,10,16,yes,private,0,9,real
873,913,66,52,yes,private,1,15,real
289,224,59,10,yes,private,0,16,real
510,594,0,25,yes,private,0,11,real
804,648,2,29,yes,private,0,13,real
542,531,41,78,yes,private,0,14,real
516,555,57,39,yes,private,0,12,real
472,431,32,59,yes,private,0,9,real
138,124,10,2,yes,private,0,13,real
201,317,79,14,yes,private,0,8,real
234,242,4,11,yes,private,0,11,real
302,306,27,37,yes,private,0,11,real
586,779,0,88,yes,public,0,9,real
260,410,0,3,yes,private,0,7,real
377,508,0,25,yes,private,0,10,real
561,508,45,114,yes,public,0,9,real
720,643,16,93,yes,private,0,13,real
413,677,0,38,yes,private,0,15,real
415,416,67,45,yes,private,0,9,real
247,289,35,70,yes,private,0,14,real
321,391,0,1,yes,private,0,12,real
847,652,6,83,yes,public,0,7,real
312,323,22,12,yes,private,0,7,real
535,426,13,60,yes,public,0,12,real
323,326,28,8,yes,private,0,9,real
521,1282,0,156,yes,private,0,13,real
258,286,24,5,yes,private,0,9,real
306,329,128,11,yes,private,0,9,real
256,307,6,12,yes,private,0,11,real
346,303,14,16,yes,public,0,11,real
300,267,15,22,yes,public,0,10,real
230,230,8,2,yes,private,0,12,real
516,538,10,20,yes,private,0,14,real
257,254,76,26,yes,private,0,7,real
334,411,40,21,yes,public,0,16,real
195,396,27,31,yes,private,0,14,real
740,940,53,483,yes,private,0,9,real
340,343,0,8,yes,private,0,11,real
404,461,0,1,yes,public,0,15,real
197,320,0,9,yes,private,0,10,real
474,410,74,33,yes,private,0,14,real
213,153,19,209,yes,private,0,8,real
936,706,35,61,yes,private,1,16,real
207,196,0,7,yes,private,0,11,real
77,92,0,0,yes,private,0,10,real
453,528,24,75,yes,private,0,15,real
293,339,12,92,yes,private,0,10,real
473,497,8,16,yes,private,0,12,real
379,436,7,56,yes,private,0,12,real
642,776,85,236,yes,private,4,15,real
350,393,26,19,yes,private,0,8,real
167,184,33,10,yes,private,2,10,real
301,444,81,60,yes,private,0,6,real
536,504,74,134,yes,private,0,15,real
374,311,0,23,yes,private,0,10,real
342,343,50,56,yes,private,2,6,real
673,587,41,11,yes,private,0,11,real
426,486,60,110,yes,public,0,12,real
593,923,13,34,yes,private,0,9,real
313,280,0,13,yes,public,0,15,real
292,447,0,47,yes,private,0,10,real
95,106,0,0,yes,private,0,7,real
186,217,14,5,yes,public,0,12,real
275,602,43,25,yes,private,0,8,real
96,174,0,1,no,private,0,15,real
322,1496,0,53,no,private,4,10,real
371,376,0,3,yes,private,0,6,real
153,180,17,6,yes,private,0,11,real
585,576,0,43,yes,private,0,12,real
486,578,0,3,yes,public,4,17,real
402,524,3,79,yes,private,0,8,real
527,527,25,10,yes,private,4,10,real
237,283,0,0,yes,private,0,10,real
321,330,32,8,yes,private,0,6,real
274,267,19,3,yes,private,0,10,real
262,522,0,11,yes,public,2,11,real
109,115,0,0,yes,private,0,18,real
425,477,4,137,yes,private,0,11,real
36,315,10,0,yes,public,0,11,real
1206,962,0,141,yes,private,0,11,real
156,199,42,2,yes,public,0,11,real
284,361,45,41,yes,private,0,19,real
225,446,0,53,yes,public,0,11,real
346,390,14,8,yes,private,0,9,real
339,378,61,1,yes,private,0,15,real
760,577,20,15,yes,public,0,9,real
218,221,10,8,yes,private,0,15,real
319,328,23,6,yes,private,0,11,real
507,493,59,25,yes,private,0,12,real
562,691,18,21,yes,private,0,12,real
524,510,0,18,yes,private,0,9,real
252,579,0,0,yes,private,0,14,real
181,199,0,3,no,private,1,21,real
182,188,19,24,yes,private,0,7,real
777,582,22,29,yes,public,0,13,real
257,281,17,11,yes,private,0,8,real
109,104,22,20,yes,public,0,13,real
127,142,0,6,yes,private,0,13,real
611,412,139,12,yes,private,0,13,real
136,365,0,19,yes,private,0,14,real
264,265,34,4,yes,private,0,10,real
447,387,12,31,yes,private,0,12,real
225,256,0,1,yes,private,0,10,real
278,672,25,21,yes,private,0,15,real
152,221,0,117,yes,public,0,11,real
616,718,0,35,yes,private,0,12,real
357,369,65,6,yes,private,0,11,real
38,158,0,1,no,private,0,14,real
199,197,74,6,yes,public,0,10,real
452,385,49,172,yes,public,0,6,real
265,312,93,53,yes,private,0,9,real
485,510,115,24,yes,private,0,13,real
247,236,1,12,yes,private,0,12,real
696,769,30,11,yes,public,3,16,real
342,286,35,18,yes,private,0,13,real
189,272,0,8,yes,private,0,12,real
487,788,44,43,yes,private,0,8,real
68,75,0,17,yes,public,0,15,real
354,363,10,40,yes,public,0,11,real
334,499,34,30,yes,private,0,12,real
304,321,32,23,yes,private,0,11,real
226,248,42,19,yes,public,0,6,real
265,319,21,58,yes,private,0,11,real
527,498,40,42,yes,private,1,11,real
327,524,0,24,yes,private,0,13,real
173,195,4,0,yes,private,0,14,real
254,907,0,34,yes,private,0,13,real
233,280,0,23,yes,public,0,7,real
210,220,0,1,yes,private,0,10,real
651,722,51,136,yes,private,0,12,real
237,249,0,36,yes,private,0,11,real
204,445,118,92,yes,private,0,8,real
268,388,0,3,yes,private,0,8,real
293,438,46,45,yes,private,0,6,real
345,332,19,167,yes,private,0,14,real
1725,1466,135,245,yes,private,0,17,real
311,351,0,63,yes,public,0,11,real
224,308,23,59,yes,private,0,16,real
245,395,0,10,yes,private,0,8,real
582,828,0,43,yes,private,0,16,real
447,572,83,120,yes,private,0,15,real
165,205,6,0,yes,public,0,8,real
187,207,9,16,yes,private,0,9,real
334,234,0,16,yes,private,0,12,real
613,555,27,121,yes,private,0,11,real
278,265,0,155,yes,public,0,9,real
277,175,0,65,yes,public,0,9,real
107,260,0,0,yes,private,0,13,real
735,665,44,19,yes,private,0,11,real
242,299,39,23,yes,private,0,11,real
209,216,19,14,yes,private,0,13,real
253,303,0,7,yes,private,0,9,real
305,322,4,49,yes,public,0,13,real
105,167,0,0,yes,private,0,7,real
371,357,78,19,yes,private,0,12,real
378,422,21,31,yes,private,0,12,real
384,219,51,11,yes,private,0,12,real
848,959,0,225,yes,public,0,8,real
143,233,0,1,yes,private,0,13,real
334,870,0,28,yes,private,0,13,real
590,801,43,76,yes,public,2,13,real
274,403,30,122,yes,private,0,10,real
179,347,0,25,yes,public,2,5,real
116,187,0,0,yes,private,0,12,real
235,186,30,9,yes,private,0,16,real
222,248,0,40,yes,private,0,13,real
290,289,0,76,yes,private,0,9,real
349,427,13,14,yes,private,4,12,real
224,234,13,7,yes,private,0,10,real
550,502,19,108,yes,private,0,13,real
118,92,0,3,yes,private,0,8,real
320,457,14,1,yes,public,0,8,real
684,592,11,49,yes,private,0,11,real
477,474,0,0,no,private,0,9,real
268,348,43,21,yes,public,0,11,real
303,418,115,92,yes,private,0,13,real
185,486,7,0,yes,private,0,9,real
347,407,66,11,yes,private,0,17,real
340,806,0,18,yes,public,0,13,real
350,385,0,63,yes,private,0,8,real
391,314,3,17,yes,public,0,12,real
404,454,9,26,yes,private,0,11,real
679,666,115,54,yes,private,0,7,real
236,338,21,23,yes,private,0,11,real
898,624,150,141,yes,private,0,15,real
489,473,8,86,yes,public,4,9,real
379,386,0,31,yes,public,0,11,real
316,317,110,101,yes,private,0,7,real
473,614,5,99,yes,public,0,13,real
146,163,69,63,yes,private,0,9,real
256,338,36,39,yes,private,0,10,real
1035,828,0,24,yes,public,0,10,real
326,654,146,155,yes,private,0,8,real
342,371,43,15,yes,private,0,11,real
531,686,0,41,yes,private,0,9,real
488,569,0,34,yes,private,0,9,real
1218,351,35,15,yes,public,0,10,real
403,388,0,23,yes,private,0,11,real
393,372,25,7,yes,public,0,9,real
505,382,9,4,yes,private,0,11,real
181,186,0,8,yes,private,0,11,real
319,319,46,138,yes,private,0,11,real
561,737,0,66,yes,private,0,9,real
283,355,0,140,yes,private,0,8,real
384,469,42,71,yes,private,0,11,real
446,496,0,62,yes,private,0,7,real
208,310,9,440,yes,private,0,10,real
1123,1162,130,428,yes,private,0,12,real
283,442,6,36,yes,private,0,8,real
682,762,11,114,yes,private,0,7,real
460,459,41,23,yes,private,0,12,real
461,440,25,115,yes,private,0,10,real
725,733,35,91,yes,private,0,13,real
132,345,0,33,yes,private,0,6,real
424,499,50,38,yes,private,0,7,real
321,306,18,102,yes,private,0,9,real
584,653,34,88,yes,private,0,9,real
589,601,58,58,yes,private,0,13,real
620,623,0,161,yes,private,0,9,real
1500,1446,103,132,yes,private,0,14,real
213,235,42,32,yes,private,1,13,real
376,437,116,33,yes,private,0,9,real
150,256,98,28,yes,private,0,15,real
351,381,35,25,yes,public,0,10,real
414,440,14,71,yes,public,0,9,real
473,397,35,28,yes,private,0,16,real
521,860,0,262,yes,private,0,7,real
230,358,0,26,yes,public,0,10,real
350,426,30,24,yes,private,0,12,real
376,636,19,60,yes,private,0,7,real
475,528,0,29,yes,private,0,7,real
288,276,22,13,yes,private,0,12,real
515,571,0,4,yes,public,0,11,real
470,627,61,7,yes,private,0,8,real
367,416,41,111,yes,private,0,7,real
252,265,41,4,yes,private,0,9,real
269,268,0,23,yes,private,0,8,real
312,453,33,47,yes,private,0,9,real
370,387,21,22,yes,private,0,7,real
609,543,23,58,yes,private,0,9,real
330,433,63,35,yes,public,0,15,real
649,630,35,67,yes,public,0,9,real
529,589,33,67,yes,private,0,13,real
348,359,0,21,yes,private,0,10,real
576,680,135,187,yes,private,0,11,real
387,382,43,69,yes,private,0,8,real
120,84,25,48,yes,private,0,13,real
290,517,2,16,yes,private,0,10,real
522,641,88,171,yes,public,0,7,real
639,677,17,125,yes,private,0,9,real
554,561,0,325,yes,private,0,12,real
230,436,0,36,yes,private,0,14,real
545,494,22,22,yes,private,0,15,real
252,509,0,28,yes,private,0,11,real
420,1097,22,29,yes,private,0,10,real
2939,595,140,43,yes,public,0,13,real
456,545,82,48,yes,private,0,10,real
326,784,6,27,yes,private,0,12,real
241,293,22,16,yes,private,0,10,real
349,420,0,61,yes,private,0,12,real
367,524,0,47,yes,private,0,11,real
462,682,0,94,yes,private,0,10,real
202,201,0,21,yes,private,0,9,real
95,90,0,4,yes,private,2,14,real
346,318,18,0,yes,public,0,12,real
603,1233,7,588,yes,private,0,7,real
386,482,32,48,yes,private,0,7,real
219,99,87,79,yes,public,0,18,real
99,227,0,117,yes,private,0,17,real
417,375,6,25,yes,private,0,10,real
266,248,33,12,yes,public,0,11,real
592,108,35,117,yes,public,0,9,real
308,423,0,101,yes,private,2,14,real
261,102,0,142,yes,public,0,8,real
571,755,4,16,yes,private,0,10,real
311,406,0,11,yes,private,0,9,real
115,143,0,15,yes,private,0,7,real
623,579,146,83,yes,public,0,14,real
473,794,0,4,yes,private,0,8,real
575,537,27,44,yes,private,0,14,real
399,826,54,70,yes,private,0,13,real
119,116,0,2,yes,private,0,15,real
260,344,0,99,yes,private,0,14,real
436,348,57,33,yes,public,0,11,real
917,591,37,48,yes,private,0,8,real
153,367,9,72,yes,public,0,13,real
676,701,0,249,yes,private,0,11,real
369,430,60,14,yes,private,0,14,real
373,1477,90,25,yes,public,0,14,real
429,449,0,1,yes,public,4,9,real
234,196,146,66,yes,private,2,8,real
481,452,93,163,yes,public,0,10,real
337,296,7,65,yes,public,0,13,real
208,571,0,11,yes,public,0,8,real
873,4935,22,30,yes,public,0,9,real
194,219,14,33,yes,private,0,15,real
371,442,0,9,yes,private,0,16,real
83,252,0,40,yes,private,0,12,real
22,28,0,0,no,private,0,15,real
244,263,0,82,yes,private,0,11,real
134,365,7,59,yes,private,0,11,real
349,352,15,44,yes,private,4,21,real
427,509,26,0,yes,private,0,12,real
60,108,0,49,yes,private,1,14,real
249,171,0,56,yes,private,0,8,real
378,578,9,61,yes,private,0,7,real
92,196,3,5,yes,private,0,12,real
221,224,0,39,yes,public,0,14,real
66,61,20,0,yes,public,0,12,real
462,483,32,31,yes,private,0,12,real
630,755,0,125,yes,private,0,10,real
126,88,0,2,yes,public,0,9,real
486,479,20,38,yes,private,0,15,real
51,48,0,43,yes,private,0,8,real
626,679,48,58,yes,private,0,12,real
748,996,11,44,yes,private,0,13,real
1058,614,23,52,yes,public,0,12,real
633,661,19,31,yes,private,0,10,real
207,201,131,75,yes,private,2,12,real
200,257,20,3,yes,private,0,11,real
216,268,40,10,yes,private,1,10,real
911,343,76,411,yes,public,0,7,real
199,209,107,49,yes,private,0,10,real
658,604,8,27,yes,private,0,7,real
409,504,32,3,yes,private,0,20,real
158,209,0,5,yes,private,0,7,real
872,772,0,174,yes,public,0,11,real
203,250,53,131,yes,private,0,8,real
93,51,0,1,yes,private,0,10,real
66,84,0,1,yes,private,0,10,real
422,377,18,17,yes,public,0,13,real
106,115,0,8,yes,private,0,8,real
238,100,10,100,yes,private,0,11,real
325,523,0,84,yes,private,0,17,real
278,458,42,85,yes,private,0,14,real
1817,758,2,115,yes,private,0,14,real
70,78,0,9,yes,public,0,20,real
788,664,24,383,yes,public,0,11,real
522,856,139,216,yes,public,0,11,real
88,146,34,6,yes,public,0,8,real
427,407,45,124,yes,private,0,8,real
150,149,77,22,yes,public,0,13,real
1099,584,0,124,yes,private,0,11,real
504,465,0,74,yes,private,2,11,real
83,119,39,5,yes,private,0,12,real
715,598,66,210,yes,public,0,7,real
226,261,0,20,yes,private,0,13,real
